CNTY_ID,CNTY_NM,FIPS_CNTY_ID,CNTY_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID
1,Baker,0,,2002-12-01T00:00:00,ISCO866
2,Benton,3,,2002-12-01T00:00:00,ISCO866
3,Clackamas,5,,2002-12-01T00:00:00,ISCO866
4,Clatsop,7,,2002-12-01T00:00:00,ISCO866
5,Columbia,9,,2002-12-01T00:00:00,ISCO866
6,Coos,11,,2002-12-01T00:00:00,ISCO866
7,Crook,13,,2002-12-01T00:00:00,ISCO866
8,Curry,15,,2002-12-01T00:00:00,ISCO866
9,Deschutes,17,,2002-12-01T00:00:00,ISCO866
10,Douglas,19,,2002-12-01T00:00:00,ISCO866
11,Gilliam,21,,2002-12-01T00:00:00,ISCO866
12,Grant,23,,2002-12-01T00:00:00,ISCO866
13,Harney,25,,2002-12-01T00:00:00,ISCO866
14,Hood River,27,,2002-12-01T00:00:00,ISCO866
15,Jackson,29,,2002-12-01T00:00:00,ISCO866
16,Jefferson,31,,2002-12-01T00:00:00,ISCO866
17,Josephine,33,,2002-12-01T00:00:00,ISCO866
18,Klamath,35,,2002-12-01T00:00:00,ISCO866
19,Lake,37,,2002-12-01T00:00:00,ISCO866
20,Lane,39,,2002-12-01T00:00:00,ISCO866
21,Lincoln,41,,2002-12-01T00:00:00,ISCO866
22,Linn,43,,2002-12-01T00:00:00,ISCO866
23,Malheur,45,,2002-12-01T00:00:00,ISCO866
24,Marion,47,,2002-12-01T00:00:00,ISCO866
25,Morrow,49,,2002-12-01T00:00:00,ISCO866
26,Multnomah,51,,2002-12-01T00:00:00,ISCO866
27,Polk,53,,2002-12-01T00:00:00,ISCO866
28,Sherman,55,,2002-12-01T00:00:00,ISCO866
29,Tillamook,57,,2002-12-01T00:00:00,ISCO866
30,Umatilla,59,,2002-12-01T00:00:00,ISCO866
31,Union,61,,2002-12-01T00:00:00,ISCO866
32,Wallowa,63,,2002-12-01T00:00:00,ISCO866
33,Wasco,65,,2002-12-01T00:00:00,ISCO866
34,Washington,67,,2002-12-01T00:00:00,ISCO866
35,Wheeler,69,,2002-12-01T00:00:00,ISCO866
36,Yamhill,71,,2002-12-01T00:00:00,ISCO866
