CRASH_ID,SER_NO,CRASH_DT,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CRASH_HR_SHORT_DESC,CNTY_ID,CNTY_NM,CITY_SECT_ID,CITY_SECT_NM,URB_AREA_CD,URB_AREA_SHORT_NM,FC_CD,FC_SHORT_DESC,NHS_FLG,HWY_NO,HWY_SFX_NO,HWY_MED_NM,RDWY_NO,HWY_COMPNT_CD,HWY_COMPNT_SHORT_DESC,MLGE_TYP_CD,MLGE_TYP_SHORT_DESC,RD_CON_NO,LRS_VAL,LAT_DEG_NO,LAT_MINUTE_NO,LAT_SEC_NO,LONGTD_DEG_NO,LONGTD_MINUTE_NO,LONGTD_SEC_NO,SPECL_JRSDCT_ID,SPECL_JRSDCT_SHORT_DESC,AGY_ST_NO,ST_FULL_NM,ISECT_AGY_ST_NO,ISECT_ST_FULL_NM,ISECT_SEQ_NO,FROM_ISECT_DSTNC_QTY,CMPSS_DIR_CD,MP_NO,POST_SPEED_LMT_VAL,RD_CHAR_CD,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_CD,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,MEDN_TYP_CD,MEDN_TYP_SHORT_DESC,IMPCT_LOC_CD,CRASH_TYP_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_CD,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_CD,CRASH_SVRTY_SHORT_DESC,WTHR_COND_CD,WTHR_COND_SHORT_DESC,RD_SURF_COND_CD,RD_SURF_SHORT_DESC,LGT_COND_CD,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_CD,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,INVSTG_AGY_CD,INVSTG_AGY_SHORT_DESC,CRASH_EVNT_1_CD,CRASH_EVNT_1_SHORT_DESC,CRASH_EVNT_2_CD,CRASH_EVNT_2_SHORT_DESC,CRASH_EVNT_3_CD,CRASH_EVNT_3_SHORT_DESC,CRASH_CAUSE_1_CD,CRASH_CAUSE_1_SHORT_DESC,CRASH_CAUSE_2_CD,CRASH_CAUSE_2_SHORT_DESC,CRASH_CAUSE_3_CD,CRASH_CAUSE_3_SHORT_DESC,SCHL_ZONE_IND,WRK_ZONE_IND,ALCHL_INVLV_FLG,DRUG_INVLV_FLG,MJ_INVLV_FLG,CRASH_SPEED_INVLV_FLG,CRASH_HIT_RUN_FLG,POP_RNG_CD,POP_RNG_MED_DESC,RD_CNTL_CD,RD_CNTL_MED_DESC,RTE_TYP_CD,RTE_ID,REG_ID,DIST_ID,SEG_MRK_ID,SEG_PT_LRS_MEAS,UNLOCT_FLG,RTE_NM,CRASH_LAST_UD_DT,TOT_VHCL_CNT,TOT_FATAL_CNT,TOT_INJ_LVL_A_CNT,TOT_INJ_LVL_B_CNT,TOT_INJ_LVL_C_CNT,TOT_INJ_CNT,TOT_UNINJD_AGE00_04_CNT,TOT_UNINJD_PER_CNT,TOT_PED_CNT,TOT_PED_FATAL_CNT,TOT_PED_INJ_CNT,TOT_PEDCYCL_CNT,TOT_PEDCYCL_FATAL_CNT,TOT_PEDCYCL_INJ_CNT,TOT_UNKNWN_CNT,TOT_UNKNWN_FATAL_CNT,TOT_UNKNWN_INJ_CNT,TOT_OCCUP_CNT,TOT_PER_INVLV_CNT,TOT_SFTY_EQUIP_USED_QTY,TOT_SFTY_EQUIP_UNUSED_QTY,TOT_SFTY_EQUIP_USE_UNKNWN_QTY,LAT_DD,LONGTD_DD,TOT_PED_INJ_LVL_A_CNT,TOT_PEDCYCL_INJ_LVL_A_CNT,TOT_MCYCLST_FATAL_CNT,TOT_MCYCLST_INJ_LVL_A_CNT,TOT_MCYCLST_INJ_CNT,TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT,TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT,TOT_MCYCLST_UNHELMTD_FATAL_CNT,TOT_DRVR_AGE_01_20_CNT,LANE_RDWY_DPRT_CRASH_FLG
1775376,129,2018-04-18T00:00:00,4,18,2018,4,15,3P,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,0.0,MN,0.0,R,,009200100S00,46,5,41.77,-122,57,48.5,,,403,LOWER COL RIVER HY,2103,ROCKCREST ST,1.0,,9,48.38,55.0,1,INTER,0,1.0,CROSS,0,0,0,,0.0,,,2,H,O-1 L-TURN,6,TURN,2,FAT,2,CLD,2,WET,1,DAY,1,TRF SIGNAL,1,3,CITY,,,,,,,4,DIS SIG,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,US,30.0,2,1,293_14040,,0,US 30,2019-10-30T16:37:58.610,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,46.09493611111033,-122.963472222222,0,0,0,0,0,1,0,0,0,N
1776087,14,2018-01-11T00:00:00,1,11,2018,5,6,6A,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,0.0,MN,0.0,R,,009200100S00,46,5,29.81,-122,56,40.09,,,403,LOWER COL RIVER HY,8706,W 6TH ST,1.0,,8,47.42,45.0,3,STRGHT,0,,,0,0,0,4.0,,0.0,NONE,4,C,S-STRGHT,3,REAR,4,INJ,3,RAIN,2,WET,2,DLIT,99,UNKNOWN,1,3,CITY,,,,,,,1,TOO-FAST,,,,,0.0,0.0,0,0,0,1,1,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,US,30.0,2,1,293_11563,,0,US 30,2019-10-30T16:37:58.593,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,46.091613888888325,-122.94446944444432,0,0,0,0,0,0,0,0,0,N
1777280,40,2018-02-03T00:00:00,2,3,2018,7,15,3P,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,,,,,,,,,,,46,6,2.38,-122,57,55.87,,,1403,LEWIS & CLARK BR,9003,LEWIS&CLARK BR C3,1.0,1550.0,2,,35.0,8,BRIDGE,0,,,0,0,0,2.0,,0.0,NONE,8,C,S-STRGHT,3,REAR,4,INJ,3,RAIN,2,WET,1,DAY,0,NONE,1,3,CITY,129.0,HILL INV,,,,,27,INATTENT,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",3,URBAN CITY STREET,,,2,1,51_53158,,0,,2020-11-19T07:07:00.040,2,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,5,5,4,0,1,46.100661111111,-122.965519444444,0,0,0,0,0,0,0,0,0,N
1777481,64,2018-02-19T00:00:00,2,19,2018,2,13,1P,5,Columbia,172,Rainier,61,RAINIER UA,18,U MN-COL,0,,,,,,,,,,,46,5,42.44,-122,57,48.19,,,403,LOWER COL RIVER HY,2103,ROCKCREST ST,1.0,0.0,2,,,1,INTER,0,1.0,CROSS,0,0,0,,0.0,,,6,E,S-1STOP,3,REAR,4,INJ,1,CLR,1,DRY,1,DAY,1,TRF SIGNAL,1,3,CITY,,,,,,,7,TOO-CLOS,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",3,URBAN CITY STREET,,,2,1,34_802671,,0,,2019-10-30T16:37:58.610,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,3,3,3,0,0,46.09512222222133,-122.963386111111,0,0,0,0,0,0,0,0,0,N
1777530,78,2018-02-28T00:00:00,2,28,2018,4,13,1P,5,Columbia,172,Rainier,61,RAINIER UA,17,U MJ-COL,0,,,,,,,,,,,46,5,21.17,-122,56,27.08,,,401,C ST,8704,W 4TH ST,1.0,0.0,9,,,1,INTER,0,1.0,CROSS,0,0,0,,0.0,,,2,B,ANGL-OTH,1,ANGL,4,INJ,1,CLR,1,DRY,1,DAY,4,STOP SIGN,1,3,CITY,,,,,,,3,PAS-STOP,,,,,0.0,0.0,0,0,0,0,1,2.0,"1,001 to 2,500",3,URBAN CITY STREET,,,2,1,34_803653,,0,,2019-10-30T16:37:58.610,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,46.08921388888833,-122.94085555555532,0,0,0,0,0,0,0,0,0,N
1779094,104,2018-03-17T00:00:00,3,17,2018,7,13,1P,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,0.0,MN,0.0,R,,009200100S00,46,5,26.84,-122,56,35.45,,,403,LOWER COL RIVER HY,8706,W 6TH ST,1.0,,9,47.34,30.0,1,INTER,0,1.0,CROSS,0,0,0,,0.0,,,1,B,ANGL-OTH,1,ANGL,4,INJ,2,CLD,2,WET,1,DAY,4,STOP SIGN,1,3,CITY,,,,,,,2,NO-YIELD,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,US,30.0,2,1,293_11562,,0,US 30,2019-10-30T16:37:58.610,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,46.090788888888326,-122.94318055555532,0,0,0,0,0,0,0,0,0,N
1784606,171,2018-05-15T00:00:00,5,15,2018,3,14,2P,5,Columbia,172,Rainier,61,RAINIER UA,18,U MN-COL,0,,,,,,,,,,,46,5,42.02,-122,57,48.4,,,403,LOWER COL RIVER HY,2103,ROCKCREST ST,1.0,0.0,2,,,1,INTER,0,1.0,CROSS,0,0,0,,0.0,,,6,E,S-1STOP,3,REAR,4,INJ,2,CLD,1,DRY,1,DAY,1,TRF SIGNAL,1,3,CITY,,,,,,,29,F AVOID,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",3,URBAN CITY STREET,,,2,1,34_802671,,0,,2019-10-30T16:37:58.610,2,0,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,4,4,4,0,0,46.095005555555325,-122.963444444444,0,0,0,0,0,0,0,0,0,N
1788023,206,2018-06-11T00:00:00,6,11,2018,2,14,2P,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,0.0,MN,0.0,R,,009200100S00,46,5,41.78,-122,57,48.51,,,403,LOWER COL RIVER HY,2103,ROCKCREST ST,1.0,,8,48.38,55.0,1,INTER,0,1.0,CROSS,0,0,0,,0.0,,,6,E,S-1STOP,3,REAR,4,INJ,1,CLR,1,DRY,1,DAY,1,TRF SIGNAL,1,3,CITY,,,,,,,1,TOO-FAST,22.0,DEF BRKE,,,0.0,0.0,0,0,0,1,0,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,US,30.0,2,1,293_14040,,0,US 30,2019-10-30T16:37:58.610,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,3,3,3,0,0,46.09493888888833,-122.963475,0,0,0,0,0,0,0,0,1,N
1788045,213,2018-06-18T00:00:00,6,18,2018,2,17,5P,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,,,,,,,,,,,46,6,8.26,-122,57,50.46,,,1403,LEWIS & CLARK BR,9003,LEWIS&CLARK BR C3,1.0,2640.0,2,,35.0,8,BRIDGE,0,,,0,0,0,2.0,,0.0,NONE,7,E,S-1STOP,3,REAR,4,INJ,1,CLR,1,DRY,1,DAY,0,NONE,1,3,CITY,13.0,FORCED,92.0,PHANTOM,,,29,F AVOID,,,,,,,0,0,0,0,0,2.0,"1,001 to 2,500",3,URBAN CITY STREET,,,2,1,51_53158,,0,,2020-11-19T07:07:00.290,3,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,4,4,3,0,1,46.102294444444,-122.964016666666,0,0,0,0,0,0,0,0,1,N
1788068,224,2018-06-15T00:00:00,6,15,2018,6,18,6P,5,Columbia,172,Rainier,61,RAINIER UA,14,U PR-ART,1,92.0,,LOWER COLUMBIA RIVER,1.0,0.0,MN,0.0,R,,009200100S00,46,5,23.14,-122,56,21.59,,,201,B ST,8703,W 3RD ST,1.0,,8,47.14,30.0,3,STRGHT,0,,,0,0,0,2.0,,0.0,NONE,4,E,S-1STOP,3,REAR,4,INJ,1,CLR,1,DRY,1,DAY,0,NONE,1,3,CITY,13.0,FORCED,92.0,PHANTOM,,,29,F AVOID,,,,,0.0,0.0,0,0,0,0,0,2.0,"1,001 to 2,500",4,URBAN HWY SYSTEM,US,30.0,2,1,293_20589,,0,US 30,2019-10-30T16:37:58.610,3,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,4,4,4,0,0,46.08976111111033,-122.93933055555532,0,0,0,0,0,0,0,0,0,N
