HWY_NO,HWY_SFX_NO,HWY_LONG_NM,HWY_MED_NM,HWY_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID,ALT_HWY_NO
1,,Pacific Highway,PACIFIC,,2016-07-11T14:47:40.947,Hwye85p,1
2,,Columbia River Highway,COLUMBIA RIVER,,2003-03-27T00:00:00,ISCO866,2
3,,Oswego Highway,OSWEGO,,2003-03-27T00:00:00,ISCO866,3
4,,The Dalles-California Highway,THE DALLES-CALIFORNIA,,2003-03-27T00:00:00,ISCO866,4
5,,John Day Highway,JOHN DAY,,2003-03-27T00:00:00,ISCO866,5
6,,Old Oregon Trail Highway,OLD OREGON TRAIL,,2003-03-27T00:00:00,ISCO866,6
7,,Central Oregon Highway,CENTRAL OREGON,,2003-03-27T00:00:00,ISCO866,7
8,,Oregon-Washington Highway,OREGON-WASHINGTON,,2003-03-27T00:00:00,ISCO866,8
9,,Oregon Coast Highway,OREGON COAST,,2003-03-27T00:00:00,ISCO866,9
10,,Wallowa Lake Highway,WALLOWA LAKE,,2003-03-27T00:00:00,ISCO866,10
11,,Enterprise-Lewiston Highway,ENTERPRISE-LEWISTON,,2003-03-27T00:00:00,ISCO866,11
12,,Baker-Copperfield Highway,BAKER-COPPERFIELD,,2003-03-27T00:00:00,ISCO866,12
14,,Crooked River Highway,CROOKED RIVER,,2016-07-11T14:53:03.663,Hwye85p,14
15,,Mckenzie Highway,MCKENZIE,,2016-07-11T14:09:57.377,Hwye85p,15
16,,Santiam Highway,SANTIAM,,2003-03-27T00:00:00,ISCO866,16
17,,Mckenzie-Bend Highway,MCKENZIE-BEND,,2003-03-27T00:00:00,ISCO866,17
18,,Willamette Highway,WILLAMETTE,,2016-07-11T14:19:36.733,Hwye85p,18
19,,Fremont Highway,FREMONT,,2003-03-27T00:00:00,ISCO866,19
20,,Klamath Falls-Lakeview Highway,KLAMATH FALLS-LAKEVIEW,,2003-03-27T00:00:00,ISCO866,20
