IMPCT_LOC_CD,IMPCT_LOC_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID
0,,2002-03-20T00:00:00,CONVERT
1,,2002-03-20T00:00:00,CONVERT
2,,2002-03-20T00:00:00,CONVERT
3,,2002-03-20T00:00:00,CONVERT
4,,2002-03-20T00:00:00,CONVERT
5,,2002-03-20T00:00:00,CONVERT
6,,2002-03-20T00:00:00,CONVERT
7,,2002-03-20T00:00:00,CONVERT
8,,2002-03-20T00:00:00,CONVERT
9,,2002-03-20T00:00:00,CONVERT
10,,2002-03-20T00:00:00,CONVERT
11,,2002-03-20T00:00:00,CONVERT
12,,2002-03-20T00:00:00,CONVERT
13,,2002-03-20T00:00:00,CONVERT
14,,2002-03-20T00:00:00,CONVERT
