RTE_TYP_CD,RTE_ID,RTE_NM,RTE_HIER_NO,RTE_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID
IS,105,I-105,560,,2019-09-03T11:46:06.303,hwye85p
IS,205,I-205,550,,2019-09-03T11:46:06.350,hwye85p
IS,405,I-405,540,,2019-09-03T11:46:06.350,hwye85p
IS,5,I-5,590,,2007-05-09T00:00:00,ISD849
IS,82,I-82,580,,2007-05-09T00:00:00,ISD849
IS,84,I-84,570,,2007-05-09T00:00:00,ISD849
OR,10,OR 10,385,,2007-05-09T00:00:00,ISD849
OR,103,OR 103,264,,2019-09-03T11:46:06.367,hwye85p
OR,104,OR 104,263,,2019-09-03T11:46:06.367,hwye85p
OR,104S,OR 104S,262,,2019-09-03T11:46:06.367,hwye85p
OR,11,OR 11,383,,2007-05-09T00:00:00,ISD849
OR,120,OR 120,261,,2019-09-03T11:46:06.367,hwye85p
OR,126,OR 126,259,,2021-06-17T22:06:35.320,hwye85p
OR,126B,OR 126B,258,,2021-06-17T22:06:35.383,hwye85p
OR,127,OR 127,257,,2021-06-17T22:04:43,Hwye85p
OR,130,OR 130,256,,2021-06-17T22:06:35.413,hwye85p
OR,131,OR 131,255,,2021-06-17T22:06:35.430,hwye85p
OR,132,OR 132,254,,2021-06-17T22:06:35.447,hwye85p
OR,138,OR 138,253,,2020-05-14T10:07:06.797,hwye85p
OR,140,OR 140,250,,2019-09-03T11:46:06.397,hwye85p
OR,141,OR 141,249,,2019-09-03T11:46:06.413,hwye85p
OR,153,OR 153,248,,2019-09-03T11:46:06.413,hwye85p
OR,154,OR 154,247,,2019-09-03T11:46:06.413,hwye85p
OR,164,OR 164,246,,2019-09-03T11:46:06.413,hwye85p
OR,173,OR 173,245,,2019-09-03T11:46:06.430,hwye85p
OR,18,OR 18,375,,2007-05-09T00:00:00,ISD849
OR,180,OR 180,244,,2019-09-03T11:46:06.430,hwye85p
OR,182,OR 182,243,2015-12-31T00:00:00,2019-09-03T11:58:24.590,hwye85p
OR,18B,OR 18B,374,,2007-05-09T00:00:00,ISD849
OR,19,OR 19,372,,2007-05-09T00:00:00,ISD849
OR,194,OR 194,242,,2019-09-03T11:46:06.430,hwye85p
OR,199,OR 199,482,2011-12-31T00:00:00,2020-05-14T10:23:56.910,hwye85p
OR,200,OR 200,241,,2019-09-03T11:46:06.443,hwye85p
OR,201,OR 201,240,,2019-09-03T11:46:06.443,hwye85p
OR,202,OR 202,238,,2019-09-03T11:46:06.443,hwye85p
OR,203,OR 203,236,,2019-09-03T11:46:06.460,hwye85p
OR,204,OR 204,234,,2019-09-03T11:51:12.550,hwye85p
OR,205,OR 205,232,,2019-09-03T11:51:12.610,hwye85p
OR,206,OR 206,230,,2019-09-03T11:51:12.610,hwye85p
OR,207,OR 207,228,,2019-09-03T11:51:12.610,hwye85p
OR,210,OR 210,225,,2019-09-03T11:51:12.627,hwye85p
OR,211,OR 211,223,,2019-09-03T11:51:12.627,hwye85p
OR,212,OR 212,221,,2019-09-03T11:51:12.627,hwye85p
OR,213,OR 213,219,,2019-09-03T11:51:12.643,hwye85p
OR,214,OR 214,217,,2019-09-03T11:51:12.643,hwye85p
OR,216,OR 216,214,,2019-09-03T11:51:12.643,hwye85p
OR,217,OR 217,213,,2019-09-03T11:51:12.657,hwye85p
OR,218,OR 218,211,,2019-09-03T11:51:12.657,hwye85p
OR,219,OR 219,210,,2019-09-03T11:51:12.657,hwye85p
OR,22,OR 22,369,,2007-05-09T00:00:00,ISD849
OR,221,OR 221,208,,2019-09-03T11:51:12.673,hwye85p
OR,222,OR 222,207,,2020-05-14T10:15:28.710,hwye85p
